IDENTIFIER	DTB-097-Progression-cfDNA	DTB-102-Progression-cfDNA	DTB-119-Progression-cfDNA	DTB-149-Baseline-cfDNA	DTB-156-Baseline-cfDNA	DTB-183-Baseline-cfDNA	DTB-205-Baseline-cfDNA	DTB-210-Baseline-cfDNA	DTB-214-Baseline-cfDNA	DTB-216-Progression-cfDNA	DTB-258-Baseline-cfDNA	DTB-261-Baseline-cfDNA	DTB-266-Baseline-cfDNA	GENE_ID
A1BG	116.568	0.961	1.409	0.301	3.876	1.375	0.277	0.139	1.324	8.585	8.181	6.296	0.512	ENSG00000121410.12
A1CF	25.805	1.238	0.02	1.297	1.073	0.0	39.08	0.071	0.032	0.754	0.109	0.016	3.873	ENSG00000148584.15
A2M	304.242	508.381	149.57	275.949	220.515	53.661	151.673	28.4	156.005	55.495	118.655	241.885	193.848	ENSG00000175899.15
A2M-AS1	3.166	15.181	0.652	2.699	4.674	8.59	5.791	20.145	13.639	4.437	5.551	4.549	4.387	
A2ML1	0.928	19.688	0.291	0.215	0.25	1.601	0.042	1.149	1.226	19.423	0.262	3.226	0.209	ENSG00000166535.20
A4GALT	3.509	3.187	11.624	2.083	10.998	1.016	0.803	1.502	2.044	4.358	16.327	10.684	3.117	ENSG00000128274.17
AAAS	100.309	99.671	66.821	97.35	94.494	50.765	51.751	120.349	73.201	90.078	75.583	122.127	99.614	ENSG00000094914.14
AACS	14.843	14.839	34.6	16.593	8.652	12.794	19.892	7.096	26.328	11.672	24.455	13.591	17.561	ENSG00000081760.17
AACSP1	0.0	0.0	0.0	0.08	0.0	0.0	6.485	0.0	0.0	0.095	0.0	8.789	0.0	
AADAC	67.726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ENSG00000114771.14
AADAT	4.802	12.954	200.208	103.278	36.949	65.274	40.397	66.918	37.925	22.297	39.162	41.959	18.75	ENSG00000109576.14
AAED1	17.992	32.959	5.482	16.743	21.98	20.989	19.947	7.21	13.701	22.154	20.391	52.714	14.626	
AAGAB	26.244	35.412	21.882	22.876	12.334	13.138	20.727	12.518	20.024	26.147	33.937	24.127	23.485	ENSG00000103591.13
AAK1	16.527	39.782	90.307	21.918	21.357	29.528	13.356	13.582	40.425	28.399	60.422	41.936	32.615	ENSG00000115977.20
AAMDC	189.021	108.369	55.88	177.49	78.879	66.15	20.372	40.218	77.983	145.448	197.516	68.757	58.063	ENSG00000087884.14
AAMP	48.97	24.303	47.078	108.917	38.508	36.179	35.116	37.271	37.37	65.61	52.147	37.434	47.699	ENSG00000127837.10
AAR2	37.871	26.989	29.504	21.575	53.938	14.775	30.619	30.576	46.41	32.08	41.59	58.485	32.236	ENSG00000131043.12
AARD	5.209	0.19	113.227	0.297	0.0	0.0	3.96	0.0	0.0	2.473	3.673	0.09	0.0	ENSG00000205002.4
AARS	107.227	92.529	267.687	87.45	136.702	74.129	67.834	56.913	133.743	102.004	103.53	99.217	88.838	
AARS2	6.092	14.827	2.372	14.1	20.808	11.715	17.528	6.805	14.455	15.997	15.094	8.623	10.428	ENSG00000124608.5
AASDH	6.552	32.867	10.441	24.343	32.472	17.99	6.648	14.447	19.053	15.917	14.177	13.958	36.561	ENSG00000157426.14
AASDHPPT	18.233	47.5	48.034	33.94	28.718	22.509	53.319	25.196	31.377	35.823	29.513	55.858	51.907	ENSG00000149313.11
AASS	5.893	38.484	10.062	18.969	32.8	2.788	31.698	16.969	48.282	9.432	34.462	29.82	17.13	ENSG00000008311.15
AATBC	1.036	0.689	7.196	1.263	2.563	2.429	1.042	7.638	2.121	3.832	6.212	0.658	3.805	
AATF	37.875	49.459	37.133	44.305	39.827	39.531	55.31	40.276	53.049	68.841	36.126	43.467	48.38	ENSG00000275700.5
AATK	3.329	0.118	5.345	3.849	10.121	0.094	0.72	0.511	0.351	3.087	1.113	0.927	0.288	ENSG00000181409.14
ABAT	38.215	7.522	15.692	40.655	7.201	1.231	25.235	12.653	47.735	7.614	36.674	65.099	17.096	ENSG00000183044.12
ABCA1	32.201	91.89	25.067	40.624	25.261	17.074	33.845	7.707	21.961	31.81	47.313	24.112	48.443	ENSG00000165029.17
ABCA10	0.305	1.486	0.214	0.285	2.209	0.0	0.392	0.251	0.148	1.238	1.213	0.095	1.433	ENSG00000154263.17
ABCA11P	4.189	12.792	5.981	16.993	13.393	6.504	2.302	3.996	6.305	5.186	19.958	16.209	19.266	
ABCA12	168.262	0.398	228.418	0.503	0.458	0.558	18.531	0.624	0.198	604.553	1.311	3.357	0.074	ENSG00000144452.15
ABCA13	0.461	0.018	0.156	0.122	1.103	0.0	1.289	0.272	0.232	9.733	0.04	2.877	0.518	ENSG00000179869.15
ABCA2	18.997	34.071	30.62	31.916	47.102	31.722	28.16	9.592	19.886	45.9	44.15	33.192	27.171	ENSG00000107331.17
ABCA3	20.106	21.038	29.367	37.2	45.591	20.505	27.011	20.769	34.065	21.809	52.212	37.701	32.746	ENSG00000167972.14
ABCA5	2.917	7.714	13.74	3.45	16.105	5.818	10.744	7.666	17.422	7.414	16.837	5.283	17.026	ENSG00000154265.16
ABCA6	10.797	15.362	0.368	2.618	4.869	0.572	0.557	0.345	2.129	3.087	1.59	1.819	3.604	ENSG00000154262.13
ABCA7	1.466	2.891	3.152	4.685	1.949	0.405	0.066	0.664	1.688	12.536	2.197	1.687	4.739	ENSG00000064687.13
ABCA8	5.275	2.615	0.356	1.834	4.666	0.377	0.151	0.454	1.507	3.726	0.961	3.571	2.584	ENSG00000141338.14
ABCA9	0.747	9.455	0.339	0.677	0.793	0.16	0.107	0.108	0.346	1.057	0.443	0.238	1.285	ENSG00000154258.17
ABCB1	4.06	4.365	0.913	1.265	0.927	0.0	21.311	0.049	0.133	0.629	0.934	0.865	2.062	ENSG00000085563.15
ABCB10	27.677	28.583	11.55	23.887	17.156	15.378	16.276	26.759	41.816	42.493	43.694	30.618	23.298	ENSG00000135776.5
ABCB11	6.272	0.367	0.028	0.0	0.0	0.0	0.0	0.266	0.0	0.143	0.0	0.0	0.0	ENSG00000073734.10
ABCB4	11.989	1.36	1.925	0.712	2.124	0.128	0.748	0.29	0.793	2.197	0.845	0.382	2.278	ENSG00000005471.19
ABCB6	27.445	15.351	23.262	44.362	29.979	11.236	6.103	32.666	49.102	34.52	47.136	27.924	31.562	ENSG00000115657.14
ABCB7	24.686	35.553	31.175	44.786	19.427	43.177	31.47	29.532	55.676	92.164	58.861	38.604	79.973	ENSG00000131269.19
ABCB8	6.387	8.828	4.461	9.626	18.75	4.713	2.551	5.568	5.51	12.194	13.166	7.18	4.018	ENSG00000197150.13
ABCB9	1.92	0.817	4.637	1.154	4.077	1.111	0.647	2.011	8.749	1.682	6.538	3.545	3.09	ENSG00000150967.18
ABCC1	9.934	30.654	10.442	17.42	13.718	27.668	6.754	16.219	15.525	14.576	27.557	25.535	16.667	ENSG00000103222.20
ABCC10	3.529	7.033	8.41	6.85	12.306	4.758	3.402	2.921	21.184	7.996	8.564	6.054	4.798	ENSG00000124574.15
ABCC11	0.248	1.997	6.727	46.031	0.342	0.103	0.0	0.233	0.448	142.081	2.114	16.387	47.341	ENSG00000121270.16
ABCC12	0.0	0.0	0.226	0.767	0.0	0.0	0.0	0.0	0.0	9.651	0.306	0.583	2.99	ENSG00000140798.16
ABCC2	7.282	1.099	0.0	0.121	1.966	0.0	0.999	2.219	0.689	0.578	0.225	0.276	0.489	ENSG00000023839.12
ABCC3	16.218	5.265	3.661	8.425	4.893	0.144	0.775	1.126	1.367	7.961	7.689	2.999	10.04	ENSG00000108846.16
ABCC4	6.744	22.576	57.995	31.237	397.35	490.417	5.367	21.303	231.447	4.317	179.26	136.093	237.557	ENSG00000125257.16
ABCC5	9.558	40.554	49.071	36.901	50.265	23.714	22.077	18.968	38.508	77.113	55.853	56.369	47.381	ENSG00000114770.17
ABCC6	2.444	0.083	0.069	0.073	0.324	0.713	0.339	3.091	0.304	1.267	0.263	0.252	0.408	ENSG00000091262.16
ABCC6P1	7.161	0.479	0.0	0.0	0.381	0.0	0.086	0.608	0.0	4.848	0.199	0.855	0.0	
ABCC8	1.063	0.706	8.609	9.847	2.66	0.514	0.739	0.279	0.956	4.652	84.574	14.586	0.6	ENSG00000006071.15
ABCC9	6.764	73.813	14.006	20.412	9.57	3.54	72.061	1.517	9.875	8.004	6.554	18.131	10.201	ENSG00000069431.11
ABCD1	3.37	10.405	16.283	2.288	3.157	9.862	0.252	4.18	19.329	30.546	15.061	3.544	9.92	ENSG00000101986.12
ABCD2	0.045	3.777	0.109	0.433	0.564	0.189	0.807	0.0	0.117	0.479	0.131	0.563	0.342	ENSG00000173208.4
ABCD3	31.837	22.993	42.493	24.459	16.099	21.629	45.395	10.857	31.566	92.013	63.465	30.723	40.847	ENSG00000117528.14
ABCD4	8.246	15.964	9.328	19.755	18.039	12.677	12.888	8.822	13.175	23.347	15.057	7.51	11.563	ENSG00000119688.21
ABCE1	60.195	96.609	67.405	96.509	81.319	63.356	200.096	96.553	71.221	80.103	51.429	129.233	99.86	ENSG00000164163.11
ABCF1	6.811	10.075	7.727	11.363	12.47	8.825	16.733	8.616	10.587	16.954	14.823	11.195	10.004	ENSG00000204574.14
ABCF2	36.094	33.917	23.944	28.277	25.748	21.611	27.932	32.662	20.848	32.868	45.589	41.33	45.115	ENSG00000033050.9
ABCF3	34.158	66.614	50.569	38.967	65.864	24.701	28.232	22.71	41.058	46.151	65.766	43.537	37.1	ENSG00000161204.11
ABCG1	13.026	15.299	33.068	33.322	8.029	6.403	37.828	2.19	23.099	28.518	68.887	14.757	39.652	ENSG00000160179.19
ABCG2	3.253	6.718	3.081	15.526	16.246	2.77	0.191	0.77	3.763	2.866	5.216	2.983	9.383	ENSG00000118777.12
ABCG5	5.785	0.714	0.805	0.249	4.928	1.14	0.171	0.69	1.648	0.889	0.396	0.85	0.9	ENSG00000138075.14
ABHD1	7.179	12.999	1.026	1.383	24.276	1.718	0.0	4.546	2.363	6.259	2.789	3.994	2.993	ENSG00000143994.14
ABHD10	57.326	44.666	57.024	69.603	58.64	137.863	73.806	52.544	57.745	71.837	65.536	55.586	46.285	ENSG00000144827.9
ABHD11	29.393	21.737	55.741	28.985	25.713	29.277	19.668	50.94	35.644	59.695	352.004	60.625	56.1	ENSG00000106077.18
ABHD12	54.979	139.978	46.714	36.634	118.904	23.639	15.529	34.253	29.556	48.441	69.273	74.869	75.539	ENSG00000100997.20
ABHD13	5.953	10.645	16.651	5.946	25.201	3.812	5.606	5.338	23.329	6.65	10.157	11.468	11.064	ENSG00000139826.6
ABHD14A	38.149	28.578	18.864	33.239	46.016	21.256	33.579	27.72	41.695	42.722	25.092	26.849	23.166	ENSG00000248487.9
ABHD14B	75.6	72.625	104.551	55.483	84.71	36.398	6.412	66.443	49.631	84.683	38.843	78.637	88.595	ENSG00000114779.19
ABHD15	14.721	10.171	16.141	6.526	15.284	1.918	7.872	7.715	11.693	18.308	13.696	3.293	9.135	ENSG00000168792.5
ABHD16A	2.838	3.682	4.889	4.353	4.613	2.325	1.492	1.797	1.904	5.55	4.453	4.076	4.529	ENSG00000204427.12
ABHD16B	2.141	8.21	1.868	2.394	10.338	0.759	1.099	4.572	5.265	4.266	3.273	2.992	2.969	ENSG00000183260.7
ABHD17A	13.811	7.936	21.576	10.573	12.637	2.839	2.142	12.094	25.974	7.508	15.573	17.237	15.866	ENSG00000129968.17
ABHD17B	31.229	34.619	38.449	30.996	18.276	16.05	18.649	12.253	20.184	30.155	38.395	73.395	19.581	ENSG00000107362.14
ABHD17C	15.7	16.352	15.531	31.132	20.924	4.124	11.064	25.837	13.257	24.087	22.466	37.907	88.178	ENSG00000136379.12
ABHD2	102.086	782.659	231.224	339.856	99.331	597.363	36.818	131.573	196.24	191.394	638.671	800.648	500.676	ENSG00000140526.18
ABHD3	11.13	30.808	15.707	22.487	20.602	5.753	11.982	18.435	6.739	33.784	26.461	34.071	11.368	ENSG00000158201.10
ABHD4	30.29	66.454	70.569	19.771	50.977	21.816	13.745	15.171	37.892	68.727	43.089	30.138	23.268	ENSG00000100439.10
ABHD5	21.991	17.253	22.639	12.452	14.884	15.144	15.72	10.656	16.082	57.681	20.017	24.452	17.534	ENSG00000011198.10
ABHD6	13.977	13.079	12.259	11.015	7.163	2.416	7.035	6.088	4.217	11.822	18.698	12.317	5.203	ENSG00000163686.15
ABHD8	2.157	2.552	1.467	2.752	6.097	0.0	0.23	0.463	4.093	4.165	3.887	3.717	3.829	ENSG00000127220.6
ABI1	48.377	90.814	48.749	59.444	31.847	62.622	39.381	21.044	45.44	62.791	41.662	70.206	42.631	ENSG00000136754.18
ABI2	30.908	52.415	34.725	60.437	86.834	51.365	183.512	42.245	44.156	101.293	119.91	96.717	40.657	ENSG00000138443.17
ABI3	4.942	18.007	7.65	10.487	7.044	1.762	0.909	1.26	5.924	6.579	3.412	13.895	7.372	ENSG00000108798.9
ABI3BP	2.323	52.154	8.982	15.709	20.572	6.647	2.298	2.928	17.252	7.265	3.512	11.882	14.21	ENSG00000154175.18
ABL1	53.146	51.057	50.475	58.583	74.267	37.817	25.618	46.146	57.42	81.573	40.395	81.483	48.337	ENSG00000097007.19
ABL2	14.57	28.238	14.551	20.071	47.349	10.334	22.287	16.929	21.978	23.832	26.556	14.967	22.048	ENSG00000143322.21
ABLIM1	20.544	32.586	24.867	20.007	11.709	4.602	74.578	67.508	50.379	35.317	3.968	2.4	84.14	ENSG00000099204.20
ABLIM2	2.561	0.186	0.768	2.31	6.47	0.448	5.547	0.405	2.222	3.572	5.395	0.119	0.526	ENSG00000163995.21
ABLIM3	10.282	4.505	15.06	3.086	9.358	5.465	4.863	11.367	5.13	8.15	31.872	1.612	71.381	ENSG00000173210.20
ABO	0.0	3.485	5.847	0.569	6.243	0.346	0.47	0.791	34.267	2.835	9.384	0.93	3.386	ENSG00000175164.15
ABR	11.551	14.388	8.126	8.134	15.858	5.752	8.1	4.239	19.039	13.578	26.048	7.07	10.071	ENSG00000159842.15
ABRACL	71.728	106.841	61.716	18.385	20.918	15.448	12.547	10.366	14.656	106.157	52.61	28.889	22.945	ENSG00000146386.8
ABT1	10.222	13.164	14.9	21.184	36.031	6.297	15.896	10.923	29.615	15.103	15.076	11.76	25.427	ENSG00000146109.5
ABTB1	4.729	2.481	6.587	7.263	23.183	0.263	1.548	0.96	6.527	14.596	11.906	2.359	9.264	ENSG00000114626.18
ABTB2	20.863	7.611	11.755	7.46	9.315	2.893	2.367	4.949	3.394	16.958	25.219	7.694	6.315	ENSG00000166016.6
ACAA1	34.923	29.677	43.997	40.631	10.921	26.987	15.655	28.009	31.764	29.334	47.045	20.598	44.818	ENSG00000060971.19
ACAA2	257.597	66.535	18.506	73.635	109.925	442.086	193.296	5.419	22.437	97.654	55.475	123.67	23.162	ENSG00000167315.18
ACACA	36.752	86.049	56.1	89.755	71.552	207.094	48.647	85.877	244.116	51.522	122.862	130.612	62.477	ENSG00000278540.5
ACACB	10.685	6.449	8.217	2.691	17.301	2.021	3.263	6.318	5.913	28.992	22.15	3.049	9.196	ENSG00000076555.15
ACAD10	9.473	10.86	32.218	17.131	33.528	9.623	10.829	15.223	18.313	26.967	11.556	11.692	27.131	ENSG00000111271.15
ACAD8	22.763	45.982	73.611	39.488	26.732	37.49	19.964	26.783	30.068	52.032	76.007	32.842	32.573	ENSG00000151498.12
ACAD9	41.506	27.729	27.039	33.221	90.345	27.913	15.265	36.496	84.06	44.58	42.276	35.157	28.301	ENSG00000177646.19
ACADL	3.105	2.242	12.884	2.897	18.346	105.445	0.475	3.633	147.981	10.919	8.191	0.126	9.149	ENSG00000115361.8
ACADM	68.731	58.593	134.818	84.76	87.434	98.808	94.725	39.176	69.655	151.252	101.034	68.364	72.71	ENSG00000117054.14
ACADS	12.652	2.716	5.582	5.93	5.089	3.182	0.23	1.275	3.784	3.079	4.69	3.115	9.446	ENSG00000122971.9
ACADSB	39.587	27.6	35.771	57.129	16.79	66.573	19.975	55.071	97.128	13.018	17.066	69.266	37.845	ENSG00000196177.13
ACADVL	190.159	120.748	155.988	116.209	231.391	81.072	25.404	31.345	118.087	138.085	230.998	61.074	83.119	ENSG00000072778.20
ACAN	0.014	1.477	0.871	1.934	0.0	0.085	0.354	0.025	1.539	0.198	0.02	5.427	0.47	ENSG00000157766.19
ACAP1	1.566	11.648	3.056	1.916	8.894	12.322	0.0	4.553	15.396	12.464	2.975	1.744	2.677	ENSG00000072818.12
ACAP2	28.424	59.7	39.132	29.773	47.947	32.113	19.535	25.354	32.142	61.871	53.01	26.534	40.913	ENSG00000114331.15
ACAP3	6.429	4.681	10.867	5.077	6.96	1.77	3.246	2.712	12.152	9.665	11.21	4.302	7.726	ENSG00000131584.19
ACAT1	155.803	50.21	38.912	49.807	85.76	107.349	73.731	41.613	64.488	54.481	84.209	44.121	38.124	ENSG00000075239.14
ACAT2	24.52	27.492	24.38	46.145	21.891	19.777	21.689	14.575	30.749	68.846	28.477	29.729	8.85	ENSG00000120437.9
ACBD3	89.382	119.785	87.441	93.942	49.123	68.018	57.834	59.187	67.703	89.703	116.396	50.756	70.871	ENSG00000182827.9
ACBD4	7.573	2.011	5.019	3.217	8.289	2.739	1.192	5.228	2.808	4.125	7.481	2.535	5.839	ENSG00000181513.15
ACBD5	68.132	83.8	61.095	57.313	40.726	81.2	65.628	34.156	32.262	64.676	37.362	45.893	43.744	ENSG00000107897.20
ACBD6	57.479	55.175	39.501	59.974	134.268	30.677	90.118	47.447	62.824	63.939	78.082	37.864	47.416	ENSG00000230124.8
ACBD7	5.964	7.162	1.059	0.2	1.014	2.52	5.567	0.277	3.406	6.074	2.864	1.366	7.477	ENSG00000176244.7
ACCS	6.63	5.577	7.925	17.726	15.116	2.457	0.0	5.64	15.364	15.61	10.328	6.284	8.548	ENSG00000110455.14
ACD	25.837	12.924	16.04	7.347	41.339	5.147	11.511	8.085	32.519	24.5	23.081	9.986	7.684	ENSG00000102977.17
ACE	5.982	15.052	23.35	5.917	5.521	3.245	3.828	0.613	4.382	22.922	8.643	4.299	16.897	ENSG00000159640.17
ACE2	0.565	2.289	0.339	0.623	0.194	0.366	2.767	0.0	0.181	4.34	0.865	0.437	0.407	ENSG00000130234.12
ACER2	12.885	32.495	19.222	6.799	18.645	11.292	4.677	20.572	7.447	26.637	26.702	18.465	12.019	ENSG00000177076.6
ACER3	9.861	68.558	21.733	34.566	47.01	4.871	11.884	13.728	32.715	143.581	67.914	39.361	15.001	ENSG00000078124.12
ACHE	9.297	0.629	1.291	0.0	0.779	0.503	0.0	0.38	1.35	8.952	2.27	2.797	0.513	ENSG00000087085.16
ACIN1	31.313	49.47	42.253	55.097	91.126	39.579	37.1	40.877	71.122	79.821	61.731	34.917	63.485	ENSG00000100813.14
ACKR1	0.0	6.454	0.184	0.0	0.0	0.0	3.457	0.0	0.148	1.96	0.0	1.642	0.734	ENSG00000213088.12
ACKR2	188.108	0.767	2.428	1.949	5.12	0.175	0.315	4.288	0.217	6.897	4.562	4.124	1.365	ENSG00000144648.16
ACKR3	8.398	87.599	6.42	21.818	86.436	3.414	7.995	4.603	18.636	2.663	13.095	22.336	4.656	ENSG00000144476.6
ACKR4	0.585	10.484	0.776	0.991	6.706	3.932	0.909	2.38	6.745	2.91	3.433	0.962	2.303	ENSG00000129048.7
ACLY	112.994	225.068	160.638	254.188	97.075	121.089	152.54	160.594	190.779	246.147	251.165	205.788	273.029	ENSG00000131473.17
ACMSD	16.959	1.813	0.315	0.135	1.374	0.41	0.373	0.564	0.762	0.641	0.999	0.123	0.69	ENSG00000153086.14
ACO1	61.738	52.514	34.891	8.572	40.062	20.47	26.001	13.598	51.265	91.7	45.266	31.244	33.372	ENSG00000122729.19
ACO2	47.406	27.242	41.85	43.492	44.086	16.053	12.927	23.363	56.611	31.12	35.774	59.031	35.078	ENSG00000100412.17
ACOT11	3.62	1.708	0.292	0.546	3.022	0.152	0.068	1.1	1.88	4.792	1.159	0.995	1.266	ENSG00000162390.18
ACOT13	24.982	47.866	49.642	37.765	37.472	51.229	32.311	30.522	22.6	69.155	65.49	67.919	46.688	ENSG00000112304.11
ACOT2	7.865	12.569	14.009	4.306	11.044	7.026	0.104	14.769	7.991	8.447	6.085	11.478	4.56	ENSG00000119673.14
ACOT4	1.299	4.407	4.228	1.754	4.01	5.502	0.151	6.551	2.684	8.718	1.971	7.271	1.958	ENSG00000177465.4
ACOT7	28.11	37.929	20.58	48.249	23.871	32.343	79.905	16.398	55.334	58.532	57.343	40.3	17.539	ENSG00000097021.20
ACOT8	24.355	15.379	24.213	21.664	24.81	7.533	15.721	16.552	36.387	25.242	40.099	27.342	16.103	ENSG00000101473.17
ACOT9	35.5	11.622	11.314	7.101	19.657	9.395	18.714	8.148	44.02	45.462	34.957	18.799	8.052	ENSG00000123130.17
ACOX1	47.328	38.98	62.16	56.383	64.107	31.738	22.212	31.911	115.065	46.042	39.926	42.561	48.503	ENSG00000161533.12
ACOX2	6.299	1.002	9.399	0.673	1.216	6.39	5.974	1.038	0.99	2.137	1.745	0.681	0.827	ENSG00000168306.13
ACOX3	7.458	27.706	12.664	19.225	18.733	7.316	4.395	8.85	12.088	6.975	19.707	17.614	29.374	ENSG00000087008.16
ACOXL	2.467	9.864	4.692	0.436	25.668	1.662	0.0	2.417	1.373	6.224	7.008	5.157	3.583	ENSG00000153093.20
ACP1	181.855	112.073	135.089	76.723	138.563	219.54	245.077	122.48	145.749	190.663	147.002	121.895	148.78	ENSG00000143727.16
ACP2	34.968	25.818	23.027	30.131	28.473	14.104	7.597	13.444	27.9	28.13	23.163	23.821	15.791	ENSG00000134575.13
ACP5	12.215	47.483	17.378	22.078	207.599	0.446	0.538	186.916	6.077	4.526	45.702	12.698	48.429	ENSG00000102575.13
ACP6	23.084	35.001	44.07	33.646	71.338	33.497	12.528	33.002	42.961	19.635	43.687	18.67	25.7	ENSG00000162836.12
ACPP	60.594	1868.657	4786.003	2642.289	4247.086	134.925	35.01	239.721	190.965	97.544	659.338	2153.339	1004.215	
ACRBP	8.008	1.786	0.547	2.707	2.086	0.853	0.257	0.259	6.161	3.66	1.977	3.819	1.826	ENSG00000111644.8
ACRC	2.625	3.048	2.316	0.851	0.971	2.03	2.121	2.282	3.019	4.434	4.796	1.404	3.933	
ACRV1	3.805	4.595	0.0	1.598	10.079	9.198	1.985	6.015	6.889	22.306	1.18	7.967	2.447	ENSG00000134940.14
ACSF2	4.402	15.478	2.752	1.704	3.172	0.65	0.0	1.87	1.744	4.563	2.785	0.775	1.147	ENSG00000167107.13
ACSF3	4.048	5.699	8.452	2.518	11.318	1.955	3.994	3.055	4.332	6.006	2.633	3.248	2.997	ENSG00000176715.17
ACSL1	63.836	68.628	331.373	47.449	75.08	137.931	22.819	51.57	120.073	97.552	172.162	106.012	71.958	ENSG00000151726.15
ACSL3	69.431	211.364	467.043	685.512	61.513	197.437	77.124	144.759	738.835	49.896	616.552	308.82	644.208	ENSG00000123983.14
ACSL4	13.719	24.05	4.456	6.99	8.535	25.659	18.071	2.438	13.967	3.322	4.175	10.52	5.155	ENSG00000068366.20
ACSL5	36.495	38.464	8.645	30.995	10.439	130.67	3.075	10.957	4.237	142.969	9.784	14.469	10.725	ENSG00000197142.10
ACSL6	0.209	0.497	0.364	1.16	0.336	0.689	0.065	0.72	0.27	6.05	4.28	2.916	0.101	ENSG00000164398.15
ACSM1	0.44	43.97	16.865	0.766	0.346	104.935	0.0	3.189	4.499	5.06	7.394	347.943	4.705	ENSG00000166743.9
ACSM2A	16.335	0.0	0.0	0.0	0.0	0.232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ENSG00000183747.12
ACSM2B	21.844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.064	0.0	ENSG00000066813.14
ACSM3	3.232	15.299	233.407	89.953	3.525	76.527	13.919	65.82	10.265	3.771	0.56	29.664	665.306	ENSG00000005187.12
ACSM5	11.555	1.905	0.084	0.569	0.722	0.0	0.0	0.099	0.269	0.508	0.604	2.267	0.968	ENSG00000183549.10
ACSS1	16.596	36.095	21.196	35.868	30.329	15.427	9.591	17.407	26.044	29.755	61.115	21.263	44.442	ENSG00000154930.15
ACSS2	19.374	9.403	14.199	5.025	21.152	11.476	5.312	14.577	31.145	15.632	18.64	13.395	21.05	ENSG00000131069.20
ACSS3	11.941	5.019	2.695	2.625	1.587	0.512	13.755	0.464	1.586	2.263	14.108	1.73	2.422	ENSG00000111058.8
ACTA1	0.09	0.697	1.132	0.243	1.479	0.553	115.363	0.506	1.369	1.582	0.513	1.542	0.928	ENSG00000143632.14
ACTA2	203.578	308.541	108.998	45.457	23.619	25.535	43.311	5.954	50.852	33.06	10.895	324.087	34.845	ENSG00000107796.13
ACTB	4023.756	5086.792	3367.354	3074.226	2140.244	1710.005	3446.67	1183.115	2702.73	4088.968	3991.182	3477.444	2333.294	ENSG00000075624.17
ACTG1	1723.354	1285.087	1946.999	1875.464	1282.59	1788.886	1437.728	1423.244	1704.519	1346.781	900.803	1520.033	984.329	ENSG00000184009.12
ACTG2	87.549	21.713	0.805	1.106	0.0	0.419	7.434	0.0	2.596	0.491	0.876	55.429	2.116	ENSG00000163017.14
ACTL10	2.739	1.484	5.758	5.343	11.204	1.182	2.848	5.381	8.295	4.508	6.481	9.876	4.69	ENSG00000182584.6,ENSG00000288649.1
ACTL6A	89.612	122.675	74.691	100.641	90.31	145.18	167.27	64.207	55.971	132.15	41.54	74.373	75.149	ENSG00000136518.17
ACTL6B	0.699	1.579	0.0	0.0	1.676	15.218	37.018	0.0	0.0	39.969	0.747	0.0	0.501	ENSG00000077080.10
ACTL8	0.841	1.269	0.665	0.0	0.0	0.144	5.74	0.0	2.501	0.0	0.301	0.086	1.128	ENSG00000117148.8
ACTN1	83.836	69.43	107.398	91.202	28.4	27.334	38.368	38.797	53.283	82.375	30.285	68.186	37.762	ENSG00000072110.15
ACTN2	0.0	0.433	0.038	0.0	1.444	0.198	20.008	2.505	3.865	0.077	0.275	0.059	0.055	ENSG00000077522.14
ACTN4	300.295	306.244	262.501	112.736	164.41	163.864	69.935	123.863	166.026	333.405	211.124	291.485	152.537	ENSG00000130402.13
ACTR10	19.868	28.433	59.343	43.899	29.045	15.91	29.869	23.346	17.846	48.221	47.515	34.952	50.571	ENSG00000131966.14
ACTR1A	109.256	66.52	78.659	98.17	31.954	29.999	41.114	40.331	105.134	74.5	79.86	97.21	81.816	ENSG00000138107.13
ACTR1B	57.292	59.676	111.742	68.075	96.678	29.807	28.913	45.5	70.666	117.736	97.903	75.261	82.722	ENSG00000115073.8
ACTR2	188.13	324.82	230.264	469.702	138.977	96.413	153.34	47.621	134.689	236.697	174.447	166.508	168.236	ENSG00000138071.14
ACTR3	55.101	190.266	85.938	50.737	57.88	59.307	124.878	41.226	38.961	70.816	59.17	62.545	106.761	ENSG00000115091.12
ACTR3B	15.075	26.475	6.698	20.176	40.815	44.232	61.79	17.57	13.736	31.72	22.873	33.368	21.412	ENSG00000133627.18
ACTR3C	2.475	8.111	3.44	6.288	3.913	10.132	4.6	8.391	14.473	10.344	9.355	7.688	5.129	ENSG00000106526.10
ACTR5	7.058	5.566	3.908	9.286	19.7	19.138	19.075	13.256	11.528	13.94	10.14	11.039	7.071	ENSG00000101442.10
ACTR6	7.326	12.366	18.889	8.427	9.683	6.182	18.069	10.683	12.107	25.745	10.739	11.3	21.887	ENSG00000075089.9
ACTR8	17.802	22.788	54.624	25.419	22.511	11.515	30.382	6.845	13.221	30.304	25.519	20.719	13.479	ENSG00000113812.14
ACVR1	16.586	33.146	49.651	87.133	18.867	12.87	13.459	16.034	23.563	21.891	33.921	29.359	20.568	ENSG00000115170.15
