IDENTIFIER	DTB-097-Progression-cfDNA	DTB-102-Progression-cfDNA	DTB-119-Progression-cfDNA	DTB-149-Baseline-cfDNA	DTB-156-Baseline-cfDNA	DTB-183-Baseline-cfDNA	DTB-205-Baseline-cfDNA	DTB-210-Baseline-cfDNA	DTB-214-Baseline-cfDNA	DTB-216-Progression-cfDNA	DTB-258-Baseline-cfDNA	DTB-261-Baseline-cfDNA	DTB-266-Baseline-cfDNA	GENE_ID
TMEM205	76.307	50.023	127.978	138.115	132.013	52.146	21.644	81.052	24.104	86.165	80.269	91.497	72.071	ENSG00000105518.14
TMEM206	27.847	32.407	19.016	23.994	40.171	11.367	17.855	16.417	18.826	18.606	23.276	15.854	7.513	
TMEM208	90.595	44.701	109.592	58.421	101.161	9.708	19.314	34.434	82.068	29.148	72.87	44.306	51.222	ENSG00000168701.19
TMEM209	41.461	111.287	25.1	56.714	59.57	65.992	90.047	52.099	57.571	76.58	46.042	54.779	58.489	ENSG00000146842.17
TMEM214	163.686	166.066	101.649	47.03	145.464	129.201	41.855	109.127	149.133	88.096	141.508	141.494	100.308	ENSG00000119777.20
TMEM216	15.027	22.19	12.994	25.54	53.634	10.585	13.471	34.192	27.252	28.1	25.194	30.132	28.364	ENSG00000187049.10
TMEM217	0.519	0.897	0.897	0.587	0.0	0.0	0.646	0.0	1.665	1.397	4.481	2.404	0.249	ENSG00000172738.12
TMEM218	6.137	13.986	12.927	16.283	14.456	7.364	8.342	14.622	11.13	15.733	16.84	4.888	11.682	ENSG00000150433.9
TMEM219	130.748	101.993	77.133	116.429	111.785	56.262	19.028	41.466	27.547	46.019	47.57	65.316	114.026	ENSG00000149932.17
TMEM220	2.743	6.277	4.252	5.09	11.332	16.553	0.301	9.02	5.18	4.76	3.078	5.134	2.699	ENSG00000187824.9
TMEM222	13.431	25.832	53.981	33.084	21.631	20.553	8.249	6.071	29.22	24.623	45.994	31.459	28.456	ENSG00000186501.14
TMEM223	56.142	49.539	72.119	67.579	104.701	19.308	19.429	74.818	57.933	65.548	102.578	146.873	44.084	ENSG00000168569.8
TMEM229A	0.0	0.0	0.158	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ENSG00000234224.3
TMEM229B	0.513	4.544	9.718	3.895	6.074	1.003	0.0	2.383	8.704	18.484	49.126	14.537	2.336	ENSG00000198133.8
TMEM230	77.256	110.377	60.802	101.454	134.41	62.276	127.787	87.895	60.029	76.004	143.274	181.202	82.414	ENSG00000089063.15
TMEM231	1.715	6.517	7.198	4.113	5.932	4.464	6.03	3.897	1.946	5.481	13.555	5.669	2.991	ENSG00000205084.11
TMEM232	0.039	1.921	0.249	0.846	4.295	0.162	0.509	0.073	1.402	0.126	1.123	1.976	1.214	ENSG00000186952.15
TMEM234	9.717	6.421	10.82	7.403	18.65	3.465	20.194	1.721	11.213	19.572	22.092	11.173	16.637	ENSG00000160055.20
TMEM237	9.43	8.129	6.275	13.566	18.832	21.555	28.542	9.32	8.021	18.478	12.782	11.877	8.621	ENSG00000155755.19
TMEM241	12.826	29.577	19.74	27.09	36.239	3.462	39.451	30.614	21.344	13.705	11.607	43.459	5.012	ENSG00000134490.14
TMEM242	7.275	6.735	12.176	8.813	10.662	0.849	8.974	4.785	7.43	9.932	8.325	8.452	6.911	ENSG00000215712.11
TMEM243	33.78	21.901	17.049	10.13	26.615	11.413	40.944	2.828	10.676	23.922	16.288	14.006	14.724	ENSG00000135185.12
TMEM245	70.45	76.802	47.646	51.943	80.493	128.266	27.814	52.53	51.107	124.808	85.84	87.331	128.945	ENSG00000106771.13
TMEM246	0.269	1.536	1.337	1.973	2.373	0.0	32.155	21.282	9.839	13.558	1.204	7.262	2.082	
TMEM248	103.465	100.366	102.682	133.649	132.415	62.912	105.607	83.763	107.69	113.959	177.45	92.886	97.609	ENSG00000106609.16
TMEM25	15.152	21.315	51.027	22.018	26.863	15.396	5.965	3.666	115.106	24.621	59.997	10.001	25.762	ENSG00000149582.16
TMEM251	20.605	27.903	10.679	25.869	17.549	9.657	12.755	26.557	15.283	22.152	25.248	18.363	19.547	ENSG00000153485.6
TMEM254	99.299	208.777	120.711	157.576	97.955	147.902	17.556	102.526	83.548	210.518	184.186	147.166	114.106	ENSG00000133678.14
TMEM254-AS1	1.184	20.566	3.55	8.536	12.887	8.135	0.964	4.337	7.347	16.425	10.512	2.443	7.188	
TMEM255A	1.593	6.245	2.548	0.481	1.56	1.102	10.509	0.532	2.275	1.031	3.673	1.313	0.817	ENSG00000125355.16
TMEM255B	4.875	3.941	3.889	7.098	4.942	0.282	0.0	0.782	5.237	3.307	4.915	5.072	5.559	ENSG00000184497.13
TMEM256	100.789	39.567	37.754	87.588	67.71	12.338	38.753	44.106	28.498	53.227	47.586	22.896	31.673	ENSG00000205544.4
TMEM257	0.0	0.0	0.0	0.0	0.0	0.0	11.627	0.0	0.0	0.0	0.0	0.0	0.0	
TMEM258	367.631	264.609	412.095	491.173	345.912	261.149	393.058	250.039	195.833	329.58	227.513	342.85	268.886	ENSG00000134825.16
TMEM259	69.228	67.368	85.744	113.709	114.02	18.666	21.249	93.364	96.805	39.254	106.04	95.092	90.955	ENSG00000182087.14
TMEM26	1.674	51.677	8.703	1.57	1.951	2.011	0.617	32.933	0.79	0.229	5.688	0.935	0.763	ENSG00000196932.12
TMEM260	8.334	21.562	16.257	15.657	27.573	25.143	24.911	17.99	23.242	16.626	15.886	18.008	15.87	ENSG00000070269.14
TMEM261	72.354	20.611	45.211	34.684	78.702	28.989	44.404	26.624	45.581	53.043	46.667	55.277	41.889	
TMEM263	75.636	102.025	118.263	97.061	62.388	72.558	72.389	77.018	62.28	40.567	47.7	81.959	103.484	ENSG00000151135.10
TMEM265	7.54	10.315	10.117	8.96	17.692	5.563	2.284	7.481	3.289	16.375	9.668	8.753	8.888	ENSG00000281991.2
TMEM27	3.707	0.653	1.726	5.912	1.386	0.864	17.391	1.264	1.284	2.159	4.448	2.685	1.74	
TMEM30A	41.832	97.236	97.549	72.591	68.348	15.37	53.294	26.685	59.853	86.47	44.444	66.873	48.864	ENSG00000112697.17
TMEM30B	17.344	33.45	111.609	43.167	50.097	22.374	0.257	68.414	63.194	94.645	122.564	40.066	67.399	ENSG00000182107.7
TMEM33	58.003	137.285	92.342	105.86	71.637	42.169	37.862	88.845	63.89	45.386	71.088	123.0	79.47	ENSG00000109133.13
TMEM35	0.0	0.0	0.0	0.0	0.342	0.0	1.044	0.0	0.0	5.411	0.089	0.0	0.215	
TMEM37	14.236	11.324	6.669	9.297	5.367	1.286	1.892	1.614	5.572	8.529	3.241	8.063	3.773	ENSG00000171227.7
TMEM38A	8.649	6.116	13.902	12.008	14.776	14.407	2.884	2.602	10.994	17.782	25.634	23.018	7.401	ENSG00000072954.7
TMEM38B	5.97	29.35	19.545	16.921	49.156	13.475	30.442	36.611	9.696	46.387	21.086	28.761	18.861	ENSG00000095209.12
TMEM39A	25.142	74.611	46.996	38.558	53.427	31.672	17.715	46.402	73.015	39.287	37.685	38.251	37.354	ENSG00000176142.13
TMEM39B	16.398	14.324	12.971	17.401	37.92	32.555	52.485	9.313	20.709	22.98	22.02	26.156	13.144	ENSG00000121775.18
TMEM41A	51.186	122.922	66.277	64.837	76.751	99.181	31.723	55.295	54.898	52.7	52.245	45.554	72.895	ENSG00000163900.11
TMEM41B	71.082	146.966	109.888	109.969	89.722	73.1	36.323	116.06	83.197	170.059	178.065	71.384	76.97	ENSG00000166471.11
TMEM42	41.656	7.214	69.025	55.807	125.293	24.199	4.92	59.716	24.389	65.828	55.58	31.51	53.517	ENSG00000169964.8
TMEM43	25.626	71.873	64.352	70.065	104.459	67.398	58.725	63.509	66.054	82.784	67.369	121.919	61.42	ENSG00000170876.8
TMEM44	9.446	15.624	2.88	9.805	30.277	4.26	0.75	3.681	9.01	15.805	11.191	5.33	3.763	ENSG00000145014.18
TMEM44-AS1	4.801	11.422	3.255	7.234	42.308	9.25	4.198	4.766	8.35	12.185	8.045	7.027	4.748	
TMEM45A	31.021	7.707	1.746	3.45	2.337	1.399	7.449	0.16	4.546	0.273	0.608	1.253	4.108	ENSG00000181458.10
TMEM45B	70.002	7.065	163.573	107.27	16.279	3.115	12.224	1.199	5.195	6.637	62.375	14.156	66.49	ENSG00000151715.8
TMEM47	16.904	38.609	7.327	13.703	199.998	2.391	15.674	44.073	36.268	37.15	51.052	56.031	14.416	ENSG00000147027.4
TMEM5	26.494	50.708	67.915	52.95	44.484	29.948	109.793	65.568	29.538	62.007	35.627	39.177	53.889	
TMEM50A	186.311	296.496	214.585	275.97	89.49	98.0	150.04	73.702	131.618	189.982	337.31	260.406	142.612	ENSG00000183726.11
TMEM50B	47.889	64.592	66.754	40.719	56.03	23.154	10.465	67.366	64.681	72.308	88.871	24.567	41.923	ENSG00000142188.17
TMEM51	23.038	18.21	8.538	7.199	11.004	6.255	15.13	3.972	3.655	18.508	11.156	7.043	6.714	ENSG00000171729.14
TMEM51-AS1	1.0	1.21	0.943	0.235	0.761	1.078	0.0	0.389	0.0	2.437	0.873	0.128	0.359	
TMEM52	7.474	9.013	0.943	13.071	10.395	5.855	101.289	2.283	12.958	3.853	1.503	14.222	4.689	ENSG00000178821.13
TMEM53	14.116	8.932	8.483	16.493	10.373	2.449	2.009	5.565	14.066	6.426	9.284	25.104	5.461	ENSG00000126106.14
TMEM54	119.181	24.749	107.947	128.231	194.182	69.36	15.929	49.965	57.318	159.121	105.496	72.866	22.773	ENSG00000121900.19
TMEM55A	5.177	23.405	12.188	7.587	15.986	6.987	11.722	13.296	3.381	5.11	40.518	18.564	20.388	
TMEM55B	35.874	11.144	30.399	31.218	27.153	6.25	8.283	15.11	23.761	44.234	43.456	30.722	24.435	
TMEM56	17.235	15.263	48.306	11.019	8.913	7.427	4.287	4.878	16.123	38.033	44.375	14.329	13.55	
TMEM57	79.1	78.544	72.618	98.493	39.618	59.642	51.902	32.942	77.898	92.424	95.248	93.896	87.213	
TMEM59	69.408	90.469	206.648	128.391	80.133	50.701	63.692	30.421	56.007	149.008	173.882	118.029	105.274	ENSG00000116209.12
TMEM59L	7.621	0.847	5.17	25.334	12.14	0.0	13.718	1.076	0.833	37.418	92.662	2.412	0.658	ENSG00000105696.9
TMEM60	201.207	200.198	164.744	164.542	146.114	77.296	169.812	94.943	65.704	126.501	148.203	129.798	96.663	ENSG00000135211.6
TMEM61	0.679	0.875	6.013	7.763	11.145	10.379	0.21	0.636	4.853	7.745	11.881	1.656	0.777	ENSG00000143001.5
TMEM62	29.653	20.601	22.446	15.578	12.5	35.815	2.711	10.152	33.312	20.385	48.923	9.475	15.34	ENSG00000137842.7
TMEM63A	60.985	40.992	39.441	19.7	31.646	4.794	0.77	13.008	51.501	66.14	174.415	14.149	51.395	ENSG00000196187.12
TMEM63B	39.371	77.499	45.062	87.475	52.399	25.406	35.655	19.372	102.547	61.649	75.253	68.958	39.009	ENSG00000137216.19
TMEM63C	1.078	0.7	2.38	1.13	1.301	2.711	9.402	0.338	1.97	14.868	11.846	4.343	1.039	ENSG00000165548.11
TMEM64	14.135	27.776	9.654	4.88	12.552	10.413	38.085	21.012	10.821	8.899	12.746	22.623	13.764	ENSG00000180694.14
TMEM65	4.748	11.293	9.296	9.464	11.836	23.044	23.212	8.284	22.849	12.671	14.938	11.514	17.015	ENSG00000164983.7
TMEM67	1.382	14.665	2.829	6.51	10.711	10.805	11.131	9.227	7.311	8.58	12.873	8.8	10.547	ENSG00000164953.16
TMEM68	22.275	41.391	32.867	26.707	45.161	44.432	14.944	20.886	20.608	28.276	41.932	40.238	26.715	ENSG00000167904.15
TMEM69	76.696	80.261	116.179	131.661	118.526	178.448	181.809	84.176	81.603	92.967	173.265	197.761	89.734	ENSG00000159596.7
TMEM70	14.269	34.679	32.417	12.588	24.279	25.346	27.574	13.506	20.184	24.201	19.715	29.099	20.197	ENSG00000175606.11
TMEM71	0.421	3.735	0.572	0.569	0.661	0.0	0.112	0.0	0.154	3.967	0.086	1.702	7.056	ENSG00000165071.15
TMEM74	0.0	1.438	0.196	0.0	0.0	3.182	17.479	0.0	0.0	0.497	0.0	0.38	0.284	ENSG00000164841.5
TMEM74B	0.804	3.719	0.548	1.167	1.106	3.913	1.606	0.971	3.379	9.345	2.226	0.849	2.315	ENSG00000125895.5
TMEM75	1.067	21.95	21.745	10.833	57.204	75.595	1.657	54.763	49.398	5.535	12.669	11.242	13.92	
TMEM79	8.115	5.326	19.101	11.652	26.339	9.277	0.303	6.198	6.785	10.115	40.161	14.538	6.418	ENSG00000163472.19
TMEM80	21.276	11.85	23.719	49.098	43.092	28.692	3.198	30.608	46.368	42.652	39.148	33.821	45.371	ENSG00000177042.14
TMEM86A	7.982	10.356	20.835	12.675	12.023	7.792	8.4	3.941	14.181	8.924	11.069	10.922	9.723	ENSG00000151117.9
TMEM87A	28.131	377.129	221.04	198.734	72.956	61.541	34.293	57.63	157.021	78.211	241.0	151.316	161.861	ENSG00000103978.16
TMEM87B	7.878	90.077	69.66	47.973	34.716	29.388	13.329	69.939	75.621	28.436	126.994	64.082	80.64	ENSG00000153214.11
TMEM88	12.332	19.332	10.003	8.009	23.773	2.068	0.633	6.406	6.817	7.542	6.967	10.336	17.515	ENSG00000167874.7
TMEM8A	75.079	17.265	108.567	47.921	41.229	12.899	4.036	32.118	41.267	35.372	115.065	53.151	39.305	
TMEM8B	8.507	5.309	5.461	7.53	23.207	5.419	1.052	4.792	15.647	20.603	17.965	14.791	6.163	ENSG00000137103.20
